call_method_id,array_id,median_intensity,ecotype_id,latitude,longitude,nativename,stockparent,firstname,surname,site,region,country
75,895,217,9490,55.9218,-3.17108,02B6,,Andrew,Hudson,"02 University of Edinburgh, King's Buildings Campus, N. of Swann Blg",Scotland,UK
75,896,227,9496,55.9212,-3.17857,09A3,,Andrew,Hudson,"09 University of Edinburgh, King's Buildings Campus - W. of SAC",Scotland,UK
75,1511,447,8719,42.0945,-86.3253,1130PNA1.10,,Justin,Borevitz,PNA,Midwest,USA
75,1452,485,8608,42.093,-86.359,11ME1.23,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,421,805,8610,42.093,-86.359,11ME1.32,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,1464,432,8612,42.093,-86.359,11ME1.34,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,1456,292,8616,42.093,-86.359,11ME1.41,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,1459,393,8617,42.093,-86.359,11ME1.42,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,1462,388,8619,42.093,-86.359,11ME1.44,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,1463,399,8629,42.093,-86.359,11ME2.10,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,1466,406,8631,42.093,-86.359,11ME2.12,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,1468,360,8640,42.093,-86.359,11ME2.5,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,1465,399,8724,42.0945,-86.3253,11PNA1.15,,Justin,Borevitz,PNA,Midwest,USA
75,1467,483,8725,42.0945,-86.3253,11PNA1.4,,Justin,Borevitz,PNA,Midwest,USA
75,1453,326,8727,42.0945,-86.3253,11PNA1.6,,Justin,Borevitz,PNA,Midwest,USA
75,1461,488,8730,42.0945,-86.3253,11PNA1.9,,Justin,Borevitz,PNA,Midwest,USA
75,1469,317,8759,42.0945,-86.3253,11PNA3.18,,Justin,Borevitz,PNA,Midwest,USA
75,1454,238,8760,42.0945,-86.3253,11PNA3.19,,Justin,Borevitz,PNA,Midwest,USA
75,1455,303,8768,42.0945,-86.3253,11PNA3.63,,Justin,Borevitz,PNA,Midwest,USA
75,1460,288,8770,42.0945,-86.3253,11PNA3.65,,Justin,Borevitz,PNA,Midwest,USA
75,1470,250,8774,42.0945,-86.3253,11PNA3.71,,Justin,Borevitz,PNA,Midwest,USA
75,1474,302,8777,42.0945,-86.3253,11PNA3.75,,Justin,Borevitz,PNA,Midwest,USA
75,1477,350,8787,42.0945,-86.3253,11PNA3.86,,Justin,Borevitz,PNA,Midwest,USA
75,1473,288,8791,42.0945,-86.3253,11PNA3.90,,Justin,Borevitz,PNA,Midwest,USA
75,1245,689,8796,42.0945,-86.3253,11PNA4.101,,Justin,Borevitz,PNA,Midwest,USA
75,1478,296,8805,42.0945,-86.3253,11PNA4.110,,Justin,Borevitz,PNA,Midwest,USA
75,1475,314,8811,42.0945,-86.3253,11PNA4.116,,Justin,Borevitz,PNA,Midwest,USA
75,1471,251,8824,42.0945,-86.3253,11PNA4.129,,Justin,Borevitz,PNA,Midwest,USA
75,899,221,9504,55.8877,-3.16377,12A1,,Andrew,Hudson,12 Liberton,Scotland,UK
75,900,252,9499,55.8858,-3.16015,13B5,,Andrew,Hudson,13 Straiton,Scotland,UK
75,1479,683,8534,42.093,-86.359,328ME007,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,1472,222,8557,42.093,-86.359,328ME032,,Justin,Borevitz,ME (Benton Harbor),Midwest,USA
75,1484,508,8673,42.0945,-86.3253,328PNA032,,Justin,Borevitz,PNA,Midwest,USA
